98,2,5/30/2021,64,8
99,2,3/8/2021,64,6
100,3,9/18/2020,93,4
101,8,1/12/2021,45,4
102,6,5/20/2020,92,1
103,5,11/26/2021,42,4
104,7,12/16/2021,73,6
105,1,11/13/2020,1,7
106,7,3/16/2020,18,4
107,9,2/13/2021,58,10
108,5,3/17/2021,74,4
109,9,2/8/2020,71,6
110,7,11/19/2021,66,4
111,7,1/19/2021,38,3
112,2,3/11/2020,60,5
113,10,10/6/2021,16,1
114,10,10/1/2020,78,3
115,4,6/12/2020,88,4
116,2,5/26/2021,83,4
117,8,10/27/2020,20,5
118,5,11/13/2021,32,2
119,9,2/4/2021,47,7
120,4,9/18/2021,72,2
121,7,1/15/2020,55,8
122,1,8/23/2020,70,3
123,6,2/9/2020,48,10
124,1,12/14/2020,29,4
125,8,2/14/2021,70,4
126,7,10/4/2020,89,10
127,10,9/12/2020,45,1
128,2,8/26/2021,21,9
129,1,6/10/2020,84,10
130,5,5/15/2020,16,4
131,1,4/24/2020,70,2
132,6,10/9/2021,58,10
133,7,12/15/2020,56,1
134,7,8/24/2020,97,3
135,6,8/3/2020,81,8
136,1,9/4/2020,87,8
137,1,1/5/2021,8,9
138,4,9/22/2020,10,1
139,2,12/26/2020,51,4
140,6,10/24/2021,74,10
141,10,2/15/2021,59,2
142,6,4/26/2021,91,5
143,5,12/3/2020,76,1
144,3,6/2/2020,60,6
145,3,5/14/2021,16,4
146,9,3/31/2021,16,3
147,7,2/3/2021,94,7
148,3,9/14/2020,90,8
149,5,8/5/2021,30,2
150,7,1/15/2021,72,1
151,6,4/28/2020,90,2
152,8,6/5/2020,98,10
153,7,5/19/2020,1,7
154,4,5/27/2021,3,9
155,9,8/8/2021,98,2
156,4,3/3/2021,75,3
157,1,6/24/2020,53,6
158,7,9/1/2021,56,5
159,9,5/26/2020,2,3
160,10,3/23/2020,22,3
161,5,1/20/2021,100,5
162,5,9/14/2020,86,1
163,4,1/21/2021,55,4
164,4,5/5/2020,31,3
165,4,10/14/2020,11,8
166,4,10/17/2020,3,8
167,8,1/9/2021,96,6
168,9,7/9/2021,48,1
169,7,1/20/2020,14,9
170,2,1/26/2021,22,2
171,10,8/23/2021,92,2
172,9,3/10/2020,76,9
173,9,11/7/2021,34,8
174,5,2/6/2020,70,6
175,7,4/21/2021,5,1
176,2,4/13/2020,10,3
177,5,5/12/2021,15,2
178,6,6/19/2020,23,5
179,5,6/7/2020,100,6
180,3,8/5/2021,44,8
181,3,2/27/2020,91,2
182,4,1/25/2020,18,4
183,5,9/23/2021,2,3
184,4,11/26/2021,20,3
185,7,1/9/2020,38,1
186,8,1/16/2020,42,4
187,7,3/27/2020,14,5
188,5,11/19/2020,89,1
189,9,9/11/2021,56,7
190,2,5/29/2020,22,2
191,6,10/21/2020,29,4
192,2,3/30/2021,31,5
193,2,7/8/2021,33,2
194,7,12/16/2020,18,4
195,7,12/12/2020,14,2
196,3,3/15/2020,33,9
197,2,3/19/2021,19,9
198,5,3/1/2020,51,8
199,9,12/19/2020,10,1
200,10,11/2/2021,32,2
201,1,8/23/2021,85,10
202,8,6/16/2020,45,9
203,6,7/29/2020,41,10
204,1,12/14/2020,14,8
205,7,2/2/2020,85,9
206,8,1/26/2021,91,5
207,3,6/9/2021,31,10
208,4,3/14/2020,34,7
209,5,3/2/2021,49,2
210,10,9/30/2020,74,5
211,4,7/10/2021,49,9
212,3,8/17/2020,29,10
213,2,5/26/2021,60,8
214,7,10/5/2021,55,8
215,4,2/18/2021,72,3
216,6,12/9/2020,90,7
217,4,1/2/2020,46,6
218,4,4/15/2021,14,1
219,10,10/31/2021,21,3
220,6,5/19/2020,14,9
221,1,3/22/2021,70,5
222,5,6/25/2021,32,9
223,7,7/2/2020,28,3
224,1,7/18/2020,60,5
225,7,11/13/2021,97,9
226,8,2/22/2021,97,7
227,9,11/2/2021,40,3
228,6,12/12/2020,27,4
229,4,12/22/2021,66,9
230,5,4/1/2020,21,2
231,1,3/26/2021,90,7
232,1,1/16/2021,68,3
233,10,2/7/2021,69,7
234,6,5/14/2020,54,1
235,2,3/31/2020,71,1
236,1,4/13/2020,6,5
237,3,3/16/2021,75,10
238,7,7/8/2020,24,4
239,6,11/11/2020,91,4
240,3,10/12/2021,10,6
241,8,2/16/2021,55,6
242,5,2/10/2020,99,3
243,2,5/7/2021,46,8
244,1,8/24/2021,48,4
245,8,4/25/2020,47,5
246,4,9/25/2021,7,6
247,8,12/22/2021,25,2
248,8,1/23/2021,94,9
249,10,11/2/2020,89,9
250,3,8/12/2020,10,8
251,6,7/1/2021,58,10
252,4,3/7/2020,85,5
253,3,11/10/2020,62,10
254,8,6/1/2020,40,1
255,4,1/28/2020,98,8
256,2,4/6/2021,81,9
257,9,6/1/2021,52,5
258,9,1/2/2021,75,7
259,5,11/27/2020,80,9
260,9,11/29/2020,79,1
261,10,7/7/2021,57,4
262,9,9/18/2020,59,1
263,3,12/7/2020,94,7
264,6,3/4/2020,74,9
265,2,2/4/2020,97,7
266,4,8/9/2021,95,10
267,10,9/25/2020,4,10
268,4,10/18/2020,73,1
269,5,5/23/2021,19,4
270,3,2/11/2020,58,8
271,8,1/13/2020,96,8
272,8,6/23/2020,39,5
273,5,6/9/2020,10,3
274,8,4/18/2020,20,8
275,4,11/4/2021,89,6
276,8,8/8/2021,30,9
277,10,11/23/2021,38,1
278,5,11/15/2021,36,4
279,7,6/2/2020,3,8
280,9,7/12/2020,80,8
281,7,7/19/2020,38,7
282,10,6/23/2020,79,9
283,7,3/7/2020,92,10
284,10,7/25/2020,49,4
285,3,6/22/2020,87,8
286,3,9/18/2020,62,4
287,3,9/19/2020,20,4
288,4,3/15/2020,34,9
289,1,11/12/2020,62,9
290,7,12/7/2021,89,10
291,8,2/3/2021,20,1
292,8,11/3/2020,57,6
293,4,4/21/2021,56,3
294,2,3/2/2021,40,9
295,6,3/18/2021,87,9
296,5,12/1/2020,54,10
297,4,2/5/2021,78,8
298,6,12/30/2020,26,4
299,6,6/13/2021,50,10
300,2,4/24/2020,39,9
